"","SOC","No.Employees","RSE","Mean.Hourly.Wage","Mean.Annual.Wage","Wage.RSE"
"1",1133,"394,590","1.3 %","$53.74",111780,"0.4 %"
"2",1134,"125,890","1.3 %","$35.63",74110,"0.6 %"
"3",1141,"113,690","1.1 %","$42.81",89050,"0.3 %"
"4",1142,"375,040","0.8 %","$41.51",86340,"0.3 %"
"5",1143,"157,830","1.6 %","$51.86",107870,"0.5 %"
"6",1151,"613,780","0.7 %","$26.03",54150,"0.4 %"
"7",1152,"186,230","1.2 %","$32.46",67510,"0.4 %"
"8",1199,"315,830","0.9 %","$43.79",91080,"0.4 %"
"9",2011,"19,210","3.8 %","$55.21",114850,"1.2 %"
"10",2021,"2,730","4.8 %","$50.33",104700,"1.9 %"
"11",2031,"106,050","2.2 %","$41.59",86510,"0.6 %"
"12",2041,"36,540","2.2 %","$42.78",88980,"0.7 %"
"13",2090,"2,000","8.9 %","$35.42",73670,"3.1 %"
