"","Data_Scientist_Skills_ID","Company","Web_scrape_date","state","job_post_link"
"1",12,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgcKoJp0eP0X3yeliWWrrKB_aND9dLV3Omxf55j7HfxujssL8vDuiVSnKK-JdLUTl-rkxVnrQ63Mwc4diSKtCOFCGb8FAx2qlivPNf-IgUhwpj7d6gjF3vN4SVKWXvqueVLP79UClFuQl9QcixfEvTLure97UCKnwy6w1bfhy06zrlUrYMXc1o_V-KbFd-yU-UcdUoYjxxNRKjRdYsbuh32ZaDNGKoK78d5x8-bAi8j0qxs0YbPvawEQhmgHhpvHMPmfYoisPmJtCuSwv7DNTUCkIdrHNrgBOsN3u8aCx9pufVLmfOzWeNvI6MPXlDGx3xKwR7phER5nu_7w_UikcxPhtD9C_vcVfAjuPbJYTNEH-BkyRlVmKs3ZmJ6wMiOQYLw9YtBPmbkTeWfQTZ9IzzxmnxaT0Cqa7Rps9CWr6HVVt&vjs=3&p=6&sk=&fvj=0"
"2",7,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgcKoJp0eP0X3yeliWWrrKB_aND9dLV3Omxf55j7HfxujssL8vDuiVSnKK-JdLUTl-rkxVnrQ63Mwc4diSKtCOFCGb8FAx2qlivPNf-IgUhwpj7d6gjF3vN4SVKWXvqueVLP79UClFuQl9QcixfEvTLure97UCKnwy6w1bfhy06zrlUrYMXc1o_V-KbFd-yU-UcdUoYjxxNRKjRdYsbuh32ZaDNGKoK78d5x8-bAi8j0qxs0YbPvawEQhmgHhpvHMPmfYoisPmJtCuSwv7DNTUCkIdrHNrgBOsN3u8aCx9pufVLmfOzWeNvI6MPXlDGx3xKwR7phER5nu_7w_UikcxPhtD9C_vcVfAjuPbJYTNEH-BkyRlVmKs3ZmJ6wMiOQYLw9YtBPmbkTeWfQTZ9IzzxmnxaT0Cqa7Rps9CWr6HVVt&vjs=3&p=6&sk=&fvj=0"
"3",4,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgcKoJp0eP0X3yeliWWrrKB_aND9dLV3Omxf55j7HfxujssL8vDuiVSnKK-JdLUTl-rkxVnrQ63Mwc4diSKtCOFCGb8FAx2qlivPNf-IgUhwpj7d6gjF3vN4SVKWXvqueVLP79UClFuQl9QcixfEvTLure97UCKnwy6w1bfhy06zrlUrYMXc1o_V-KbFd-yU-UcdUoYjxxNRKjRdYsbuh32ZaDNGKoK78d5x8-bAi8j0qxs0YbPvawEQhmgHhpvHMPmfYoisPmJtCuSwv7DNTUCkIdrHNrgBOsN3u8aCx9pufVLmfOzWeNvI6MPXlDGx3xKwR7phER5nu_7w_UikcxPhtD9C_vcVfAjuPbJYTNEH-BkyRlVmKs3ZmJ6wMiOQYLw9YtBPmbkTeWfQTZ9IzzxmnxaT0Cqa7Rps9CWr6HVVt&vjs=3&p=6&sk=&fvj=0"
"4",2,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgcKoJp0eP0X3yeliWWrrKB_aND9dLV3Omxf55j7HfxujssL8vDuiVSnKK-JdLUTl-rkxVnrQ63Mwc4diSKtCOFCGb8FAx2qlivPNf-IgUhwpj7d6gjF3vN4SVKWXvqueVLP79UClFuQl9QcixfEvTLure97UCKnwy6w1bfhy06zrlUrYMXc1o_V-KbFd-yU-UcdUoYjxxNRKjRdYsbuh32ZaDNGKoK78d5x8-bAi8j0qxs0YbPvawEQhmgHhpvHMPmfYoisPmJtCuSwv7DNTUCkIdrHNrgBOsN3u8aCx9pufVLmfOzWeNvI6MPXlDGx3xKwR7phER5nu_7w_UikcxPhtD9C_vcVfAjuPbJYTNEH-BkyRlVmKs3ZmJ6wMiOQYLw9YtBPmbkTeWfQTZ9IzzxmnxaT0Cqa7Rps9CWr6HVVt&vjs=3&p=6&sk=&fvj=0"
"5",12,"Quest Groups LLC",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CINkGedeUSmfoCD6vzIo7nqDgc1O7Ij50xtHbnUDtgdnRvMdLQBRXYG5gtOfJ3Va02of8kg1VfdMuKdphvIpMPmeynQADeiZ11NfG0wpQx4hOTpk9c12TK_az10UfrGEqD0nbAMNx96WnM_k8jqI_nrzDNgUUGVqLEyKhHjoJFNyNGQ7Mic8Kkc1Iz6UKtqeQJU_WZhPUYRjlirG8F3Gz35JmHj8DOQwXiDbgu2Bbedt5WaZEvv9SRug4tzctS8hmGwebBvKDOhFm87EqlrZ4Q44Q8kt17RXis1jsCYIAFFyqZTRcMnleq3EaETnC82PC5q-qB5n7CWfgAyvUWQWTneWK8wm6vCno2zTq1CgkmLTUo3862W6W-ZkTQ_j6I2S7k7pPHLANciE8kZXMZku5wSRqIJfRTWoCd1wl3KwppX3o426C1kisf&vjs=3&p=5&sk=&fvj=1"
"6",13,"BlackRock",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CrOCDqAIDcLz3WrAskx0HJAXGy4Qvvp74sQIT5tIBWRSrsgg3Mzq39bZzvw1GDSMfj_tXmMaszXvImEUtg-010kK4nzmipQES_hDPQvJMOmP5UM_J7MnGmyG-nvmk0IlAarh7YnVwTKkQ8aPbxpTt0TfA15tWnMjfSp0HzNqC32UbjRw1J5Cuw_yxxuLczgtqYLvJjp14178Te_JQCZ5fxNMhpPPCNkgFqS_lO68nJCQy_oWac4pLz88riWxaxljSHlXf1wPbZUZDIoE6Klob1_CcSv_RQnUmn-_Plx9L7DgoMzg4x2n7gpxaFlz9WHqusPlDzTwmJBk4HbXZGrFS-WqqhPXiSj-SxiChtKnfT4ejwV46RIuqEodQEzrEBH0VvEluUAZpfFbBBKCfVSLkkbL0bi8hvlk0=&vjs=3&p=2&sk=&fvj=0"
"7",2,"Deloitte",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVN2aNd4LWgpetAhtYQED-V7CCI0ZA8vfYA-_lRlKhPw6BT146FI1D-089TTA6b7rR35mjFQXU6K3FvPbBs-WDB2sijwJc7SyGr41e_gauUAvItTQO4z1eOcpV9t7sMrbJFzzty6qtkXqphItgjl2FEd3f_LqMpXV7BC2229cPAviXnsvhlKvfqvahKlOg6aiedxbIM1UQo7x-uD9gkPSfp8n1wTHBMcuguGlIEp76osR1P-oTB6JYxrPnUCBK21My7EIgb6T_gWkjbFVC96ce6t6zNVrjBWKIizF7tw1T7PcB4rFX7g4TFj9yVi6-pJaBerC7_k54y5VQkzwf_LiT5Ok1tnFvK4qJFsjb23uMrIm-qicVQ_m64waKTGaDmUX9rcjVZg6p8RGtdNXSeLsRDkEz8B6Ndm3nwrEy14C7rPofKQ9rD5nYlraknlrJ0DcQA==&vjs=3&p=1&sk=&fvj=0"
"8",11,"Skillshare",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=9fbcc8b14e870858&fccid=d0a1714dfe823da3&vjs=3"
"9",1,"Skillshare",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=9fbcc8b14e870858&fccid=d0a1714dfe823da3&vjs=3"
"10",5,"NYC Administration for Children's Services",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=6c6b017b6161b6c2&fccid=3dd3aa4c732ecbeb&vjs=3"
