Section,Category,Example
Technology,Accounting software,Deltek Costpoint
Technology,Accounting software,Intuit QuickBooks
Technology,Analytical or scientific software,Business analysis software
Technology,Analytical or scientific software,Relex Weibull
Technology,Data base reporting software,AdRelevance
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft Dynamics Marketing
Technology,Data base user interface and query software,PaloAlto Advertising Plan Pro
Technology,Data base user interface and query software,Structured query language SQL
Technology,Desktop publishing software,Adobe Systems Adobe PageMaker
Technology,Desktop publishing software,Quark
Technology,Document management software,Atlas Business Solutions Staff Files
Technology,Document management software,Document management system software
Technology,Electronic mail software,IBM Notes
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,Brainworks
Technology,Enterprise resource planning ERP software,Microsoft Dynamics GP
Technology,Enterprise resource planning ERP software,Oracle Hyperion
Technology,Enterprise resource planning ERP software,SAP
Technology,Graphics or photo imaging software,Adobe Systems Adobe Illustrator
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Graphics or photo imaging software,Microsoft Visio
Technology,Human resources software,ADP Workforce Now
Technology,Human resources software,Human resource management software HRMS
Technology,Human resources software,Ultimate Software UltiPro
Technology,Human resources software,Vantage Point Software HRA
Technology,Internet browser software,Web browser software
Technology,Medical software,e-MDs Bill
Technology,Office suite software,Microsoft Office
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Experience in Software Webplanner
Technology,Project management software,Microsoft Project
Technology,Project management software,Microsoft SharePoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Video creation and editing software,Apple iMovie
Technology,Web page creation and editing software,Adobe Systems Adobe Dreamweaver
Technology,Web page creation and editing software,Adobe Systems Adobe Flash Player
Technology,Word processing software,Microsoft Word
