Section,Category,Example
Technology,Analytical or scientific software,Aptech Systems GAUSS
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Tableau
Technology,Data base management system software,Apache Hive
Technology,Data base management system software,Apache Pig
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Structured query language SQL
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Ruby
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,Oracle Fusion Applications
Technology,Enterprise resource planning ERP software,SAP
Technology,Graphics or photo imaging software,Microsoft Visio
Technology,Information retrieval or search software,Factiva
Technology,Information retrieval or search software,S&P Capital IQ
Technology,Information retrieval or search software,Standard & Poor's Capital IQ Compustat
Technology,Internet browser software,Web browser software
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Practical extraction and reporting language Perl
Technology,Object or component oriented development software,R
Technology,Office suite software,Microsoft Office
Technology,Operating system software,Linux
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Microsoft Project
Technology,Project management software,Microsoft SharePoint
Technology,Project management software,Oracle Primavera Enterprise Project Portfolio Management
Technology,Spreadsheet software,Microsoft Excel
Technology,Transaction security and virus protection software,McAfee
Technology,Word processing software,Microsoft Word
