Section,Category,Example
Technology,Analytical or scientific software,Advanced numerical software
Technology,Analytical or scientific software,Algorithmic software
Technology,Analytical or scientific software,Augmint
Technology,Analytical or scientific software,Computational statistics software
Technology,Analytical or scientific software,Data visualization software
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Intel Math Kernel Library
Technology,Analytical or scientific software,Mathematical software
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,Multisensory data representation software
Technology,Analytical or scientific software,Optimization software
Technology,Analytical or scientific software,Polhemus Fasttrack System
Technology,Analytical or scientific software,Rice Simulator for ILP Multiprocessors RSIM
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,Simulation software
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,MicroStrategy
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Clustering software,Clustermatic
Technology,Clustering software,Parallel systems software
Technology,Communications server software,IBM Domino
Technology,Compiler and decompiler software,Greenhills Ada compilers
Technology,Compiler and decompiler software,Low-level virtual machine LLVM compilers
Technology,Compiler and decompiler software,Polaris parallelizing compilers
Technology,Computer aided design CAD software,Computer aided design and drafting CADD software
Technology,Computer aided design CAD software,PTC Creo Parametric
Technology,Configuration management software,IBM Rational Apex
Technology,Configuration management software,Perforce Software Configuration Management System
Technology,Data base management system software,Apache Cassandra
Technology,Data base management system software,Apache Flume
Technology,Data base management system software,Apache Hadoop
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,Apache Solr
Technology,Data base management system software,MongoDB
Technology,Data base management system software,MySQL
Technology,Data base management system software,NoSQL
Technology,Data base management system software,Oracle DBMS
Technology,Data base management system software,Relational database management software
Technology,Data base management system software,Relational database management system software
Technology,Data base management system software,Teradata Database
Technology,Data base user interface and query software,Apache Hive
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data mining software,
Technology,Development environment software,Ada
Technology,Development environment software,Automated document generation software
Technology,Development environment software,C
Technology,Development environment software,CMAKE
Technology,Development environment software,Doxygen
Technology,Development environment software,Eclipse IDE
Technology,Development environment software,Embarcadero JBuilder
Technology,Development environment software,Formula translation/translator FORTRAN
Technology,Development environment software,High-performance software libraries
Technology,Development environment software,IBM Rational Rose
Technology,Development environment software,Integrated development environment IDE software
Technology,Development environment software,Intel Integrated Performance Primitives
Technology,Development environment software,List processing language LISP
Technology,Development environment software,Microsoft Visual Basic
Technology,Development environment software,Microsoft Visual Studio
Technology,Development environment software,Microsoft Visual Studio.NET
Technology,Development environment software,National Instruments LabVIEW
Technology,Development environment software,Prolog
Technology,Development environment software,Ruby
Technology,Development environment software,Software libraries
Technology,Development environment software,Source code management SCM software
Technology,Development environment software,Sun Microsystems Java 2 Platform Enterprise Edition J2EE
Technology,Development environment software,Verilog
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Enterprise application integration software,IBM InfoSphere DataStage
Technology,Enterprise resource planning ERP software,SAP Business Objects
Technology,Enterprise system management software,Splunk Enterprise
Technology,File versioning software,Git
Technology,Graphical user interface development software,Waikato Environment for Knowledge Analysis Weka
Technology,Graphics or photo imaging software,Graphics pipelines
Technology,Graphics or photo imaging software,Open Graphics Library OpenGL
Technology,Graphics or photo imaging software,Three-dimensional 3D graphics software
Technology,Map creation software,ESRI ArcGIS software
Technology,Metadata management software,CA Erwin Data Modeler
Technology,Object or component oriented development software,C#
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Charm++
Technology,Object or component oriented development software,Eiffel
Technology,Object or component oriented development software,Microsoft ActiveX
Technology,Object or component oriented development software,Microsoft Visual Basic.NET
Technology,Object or component oriented development software,Microsoft Visual C# .NET
Technology,Object or component oriented development software,Object oriented development environment software
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Practical extraction and reporting language Perl
Technology,Object or component oriented development software,Python
Technology,Object or component oriented development software,R
Technology,Object oriented data base management software,PostgreSQL
Technology,Office suite software,Microsoft Office
Technology,Operating system software,Bash
Technology,Operating system software,Linux
Technology,Operating system software,Microsoft Windows XP
Technology,Operating system software,Oracle Solaris
Technology,Operating system software,Sun Microsystems Solaris
Technology,Operating system software,Ubuntu
Technology,Operating system software,UNIX
Technology,Operating system software,VME PowerPC VxWorks
Technology,Portal server software,Apache HTTP Server
Technology,Presentation software,Microsoft PowerPoint
Technology,Requirements analysis and system architecture software,Unified modeling language UML
Technology,Spreadsheet software,Microsoft Excel
Technology,Video creation and editing software,Video editing software
Technology,Web page creation and editing software,Plug-in file software
Technology,Web platform development software,Django
Technology,Web platform development software,Extensible stylesheet language transformations XSLT
Technology,Web platform development software,JavaScript
Technology,Web platform development software,PHP: Hypertext Preprocessor
