Section,Category,Example
Technology,Analytical or scientific software,RSI ENVI
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Data base user interface and query software,Structured query language SQL
Technology,Development environment software,C
Technology,Development environment software,Interface definition language IDL
Technology,Graphics or photo imaging software,Image processing software
Technology,Internet browser software,Web browser software
Technology,Map creation software,BAE Systems SOCET GXP
Technology,Map creation software,ESRI ArcGIS software
Technology,Map creation software,Gamma remote sensing software
Technology,Map creation software,Leica Geosystems ERDAS IMAGINE
Technology,Map creation software,PCI Geomatics Geomatica
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Practical extraction and reporting language Perl
Technology,Office suite software,Microsoft Office
Technology,Operating system software,Linux
Technology,Operating system software,UNIX
Technology,Presentation software,Microsoft PowerPoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Word processing software,Microsoft Word
