"","Section","Category","Example","job","jobcode"
"1","Technology","Analytical or scientific software","IBM SPSS Statistics","Biostatisticians","15-2041.01"
"2","Technology","Analytical or scientific software","Insightful S-PLUS","Biostatisticians","15-2041.01"
"3","Technology","Analytical or scientific software","Minitab","Biostatisticians","15-2041.01"
"4","Technology","Analytical or scientific software","SAS","Biostatisticians","15-2041.01"
"5","Technology","Analytical or scientific software","StataCorp Stata","Biostatisticians","15-2041.01"
"6","Technology","Analytical or scientific software","STATISTICA","Biostatisticians","15-2041.01"
"7","Technology","Analytical or scientific software","The MathWorks MATLAB","Biostatisticians","15-2041.01"
"8","Technology","Analytical or scientific software","Wolfram Research Mathematica","Biostatisticians","15-2041.01"
"9","Technology","Data base management system software","MySQL","Biostatisticians","15-2041.01"
"10","Technology","Data base user interface and query software","Clinical trials database software","Biostatisticians","15-2041.01"
"11","Technology","Data base user interface and query software","Database software","Biostatisticians","15-2041.01"
"12","Technology","Data base user interface and query software","Microsoft Access","Biostatisticians","15-2041.01"
"13","Technology","Data base user interface and query software","Microsoft SQL Server","Biostatisticians","15-2041.01"
"14","Technology","Data base user interface and query software","Patient monitoring systems","Biostatisticians","15-2041.01"
"15","Technology","Data base user interface and query software","Structured query language SQL","Biostatisticians","15-2041.01"
"16","Technology","Data mining software","","Biostatisticians","15-2041.01"
"17","Technology","Enterprise resource planning ERP software","SAP","Biostatisticians","15-2041.01"
"18","Technology","Graphics or photo imaging software","Graphics software","Biostatisticians","15-2041.01"
"19","Technology","Medical software","STAT! Systems QD Clinical","Biostatisticians","15-2041.01"
"20","Technology","Object or component oriented development software","C++","Biostatisticians","15-2041.01"
"21","Technology","Object or component oriented development software","Oracle Java","Biostatisticians","15-2041.01"
"22","Technology","Object or component oriented development software","Practical extraction and reporting language Perl","Biostatisticians","15-2041.01"
"23","Technology","Object or component oriented development software","Python","Biostatisticians","15-2041.01"
"24","Technology","Object or component oriented development software","R","Biostatisticians","15-2041.01"
