Section,Category,Example
Technology,Access software,Citrix
Technology,Access software,Symark PowerBroker
Technology,Analytical or scientific software,Minitab
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,StataCorp Stata
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Oracle WebLogic Server
Technology,Application server software,Red Hat WildFly
Technology,Application server software,VMWare ESX Server
Technology,Backup or archival software,Veritas NetBackup
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Communications server software,IBM Domino
Technology,Computer aided design CAD software,Autodesk AutoCAD
Technology,Computer aided design CAD software,Bentley MicroStation
Technology,Computer aided design CAD software,Dassault Systemes CATIA
Technology,Computer aided design CAD software,PTC Creo Parametric
Technology,Configuration management software,Chef
Technology,Configuration management software,IBM Rational ClearCase
Technology,Configuration management software,Perforce Helix software
Technology,Configuration management software,Puppet
Technology,Content workflow software,Atlassian JIRA
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Apache Pig
Technology,Data base management system software,MongoDB
Technology,Data base management system software,Oracle PL/SQL
Technology,Data base management system software,Teradata Database
Technology,Data base reporting software,Microsoft SQL Server Reporting Services
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,FileMaker Pro
Technology,Data base user interface and query software,IBM DB2
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Transact-SQL
Technology,Data mining software,Google Analytics
Technology,Desktop publishing software,Adobe Systems Adobe FrameMaker
Technology,Development environment software,Apache Maven
Technology,Development environment software,C
Technology,Development environment software,Microsoft PowerShell
Technology,Development environment software,Verilog
Technology,Document management software,Adobe Systems Adobe Acrobat
Technology,Electronic mail software,IBM Notes
Technology,Electronic mail software,Microsoft Exchange Server
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Enterprise application integration software,IBM InfoSphere DataStage
Technology,Enterprise application integration software,IBM WebSphere
Technology,Enterprise resource planning ERP software,Microsoft Dynamics GP
Technology,Enterprise resource planning ERP software,NetSuite ERP
Technology,Enterprise resource planning ERP software,Oracle Fusion Applications
Technology,Enterprise resource planning ERP software,SAP
Technology,Enterprise system management software,IBM Power Systems software
Technology,Enterprise system management software,Splunk Enterprise
Technology,File versioning software,Apache Subversion SVN
Technology,File versioning software,Git
Technology,Financial analysis software,Delphi Technology
Technology,Financial analysis software,Oracle E-Business Suite Financials
Technology,Graphical user interface development software,Altia Design
Technology,Graphics or photo imaging software,Adobe Systems Adobe Creative Cloud
Technology,Graphics or photo imaging software,Adobe Systems Adobe Fireworks
Technology,Graphics or photo imaging software,Adobe Systems Adobe Photoshop
Technology,Graphics or photo imaging software,Microsoft Visio
Technology,Human resources software,Human resource management software HRMS
Technology,Human resources software,Oracle Taleo
Technology,Information retrieval or search software,LexisNexis
Technology,Internet browser software,Web browser software
Technology,Internet directory services software,Microsoft Active Directory
Technology,LAN software,Local area network LAN software
Technology,Map creation software,ESRI ArcGIS software
Technology,Medical software,MEDITECH software
Technology,Metadata management software,CA Erwin Data Modeler
Technology,Network conferencing software,IBM Lotus SameTime
Technology,Network monitoring software,Nagios
Technology,Network monitoring software,Network intrusion prevention systems NIPS
Technology,Network monitoring software,Snort
Technology,Network monitoring software,Wireshark
Technology,Network security and virtual private network VPN equipment software,Firewall software
Technology,Network security or virtual private network VPN management software,Intrusion detection system IDS
Technology,Network security or virtual private network VPN management software,Virtual private networking VPN software
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Oracle Java
Technology,Object or component oriented development software,Python
Technology,Object or component oriented development software,Swift
Technology,Object oriented data base management software,Hibernate ORM
Technology,Object oriented data base management software,PostgreSQL
Technology,Office suite software,Microsoft Office
Technology,Operating system software,Hewlett Packard HP-UX
Technology,Operating system software,KornShell
Technology,Operating system software,Linux
Technology,Operating system software,Ubuntu
Technology,Portal server software,Apache HTTP Server
Technology,Presentation software,Microsoft PowerPoint
Technology,Program testing software,Hewlett Packard LoadRunner
Technology,Program testing software,JUnit
Technology,Program testing software,Selenium
Technology,Project management software,37signals Basecamp
Technology,Project management software,Microsoft Project
Technology,Project management software,Microsoft SharePoint
Technology,Requirements analysis and system architecture software,Unified modeling language UML
Technology,Sales and marketing software,Google AdWords
Technology,Sales and marketing software,Marketo Marketing Automation
Technology,Spreadsheet software,Microsoft Excel
Technology,Storage networking software,Storage area network SAN software
Technology,Transaction security and virus protection software,McAfee
Technology,Transaction security and virus protection software,Symantec
Technology,Transaction server software,BEA Tuxedo
Technology,Transaction server software,Customer information control system CICS
Technology,Transaction server software,Microsoft Internet Information Service IIS
Technology,Video creation and editing software,Apple Final Cut Pro
Technology,WAN switching software and firmware,Wide area network WAN software
Technology,Web page creation and editing software,Adobe Systems Adobe Dreamweaver
Technology,Web platform development software,AJAX
Technology,Web platform development software,Extensible HyperText Markup Language XHTML
Technology,Web platform development software,LAMP Stack
Technology,Web platform development software,Node.js
